customer_id,signup_date,country,plan_type,monthly_revenue,active_users,logins_last_30_days,churned,referral_source,support_tickets
90,2023-05-10,CA,Free,20.07,1,14,0,Direct,0
91,2023-10-07,Nigeria,Free,53.74,2,6,0,Direct,1
92,2020-04-24,Nigeria,,2.14,4,12,0,Direct,0
93,2021-01-24,United Kingdom,Pro,50.47,3,11,1,Facebook,0
94,2023-06-07,United States,,47.39,0,9,1,Direct,1
95,2024-12-24,Canada,basic,15.64,3,8,0,Facebook,1
96,2021-08-04,Nigeria,basic,103.02,5,9,0,LinkedIn,0
97,2024-07-13,,Basic,54.3,4,10,1,Twitter,1
98,2020-07-02,CA,,11.05,2,10,0,Referral,3
99,2023-01-14,United Kingdom,Pro,5.25,2,8,0,Referral,2
100,2023-06-05,,basic,98.23,2,11,0,,4
101,2024-09-15,,Pro,12.29,3,12,0,Twitter,1
102,2023-08-30,United States,,202.12,2,11,0,Direct,1
103,2021-09-22,UK,Pro,-0.07,1,11,0,,0
104,2022-05-30,USA,Free,23.67,3,9,0,Twitter,1
105,2025-07-05,United Kingdom,Enterprise,26.42,5,8,0,Direct,0
106,2024-01-28,,,16.51,2,7,0,Direct,0
107,2020-10-23,CAN,Pro,0.38,2,5,0,Facebook,0
108,2022-08-03,,pro,14.83,4,10,0,Referral,1
109,2024-08-18,United States,Enterprise,13.17,5,10,0,LinkedIn,0
110,2024-09-22,USA,Pro,26.94,4,15,0,Facebook,0
111,2023-06-27,Nigeria,Pro,44.27,4,13,0,LinkedIn,1
112,2023-04-15,CA,Basic,4.35,4,6,0,,3
113,2025-07-23,United States,Free,-0.59,1,14,0,Facebook,1
114,2020-12-21,CA,Free,-2.46,4,10,0,,3
115,2022-04-28,Nigeria,Enterprise,92.25,3,12,0,Referral,0
116,2020-05-21,Nigeria,Enterprise,99.61,5,8,0,Facebook,3
117,2020-08-28,US,Basic,5.49,2,10,1,,3
118,2023-08-29,United Kingdom,pro,1.27,4,10,0,,0
119,2021-12-06,United Kingdom,Enterprise,-4.12,3,12,0,Facebook,1
120,2023-04-14,Canada,Pro,2.95,6,10,0,,0
121,2020-10-23,United Kingdom,,-3.6,3,11,1,,2
122,2025-01-28,United States,pro,4.96,3,6,0,Direct,1
123,2021-11-29,United States,Pro,15.7,0,13,0,,0
124,2023-06-28,United States,Enterprise,8.84,3,10,1,LinkedIn,0
125,2025-04-10,CAN,,13.73,6,6,0,,2
126,2025-02-15,CAN,pro,20.38,7,13,1,Google Ads,0
127,2023-05-20,CAN,Enterprise,18.99,0,13,0,Twitter,1
128,2025-07-18,Canada,basic,50.54,1,8,0,Referral,1
129,2025-05-17,,Basic,9.74,2,12,0,,1
130,2022-07-10,CAN,basic,17.83,5,13,0,Facebook,2
131,2024-07-31,UK,,103.83,3,9,0,Twitter,0
132,2023-02-01,United Kingdom,Free,98.73,2,13,0,Direct,0
133,2020-04-30,US,Enterprise,4.48,2,5,1,,2
134,2023-01-01,CAN,Basic,10.75,4,10,0,,2
135,2025-07-24,,,8.2,1,17,0,Referral,2
136,2022-03-26,CA,,20.67,0,10,0,Google Ads,1
137,2020-04-26,Canada,,-7.7,3,7,0,,0
138,2020-11-27,Canada,Pro,2.88,3,13,0,,3
139,2024-05-24,,,56.69,6,13,0,Facebook,0
140,2022-03-05,,basic,48.58,3,5,0,LinkedIn,1
141,2022-11-20,UK,Basic,19.18,3,11,0,Google Ads,0
142,2023-01-10,,Basic,2.33,5,18,0,Referral,0
143,2021-03-24,Canada,Pro,196.0,4,7,1,Direct,0
144,2022-07-01,CAN,,32.38,2,14,0,Google Ads,2
145,2022-09-19,United States,,6.13,2,9,0,Google Ads,1
146,2021-12-25,CAN,basic,13.23,2,8,0,Facebook,1
147,2022-03-04,United Kingdom,,-3.24,5,5,0,Referral,2
148,2024-07-16,CAN,,101.23,5,11,0,,0
149,2021-09-14,NGA,Enterprise,3.27,2,7,0,Twitter,3
150,2021-12-18,Nigeria,Free,46.72,3,4,0,Google Ads,0
151,2020-12-21,CAN,Free,8.69,1,12,0,Twitter,0
152,2020-10-14,Canada,pro,52.75,5,8,0,,0
153,2021-09-20,United States,Free,45.42,3,12,0,Facebook,1
154,2021-11-08,,Pro,-7.01,2,9,0,Direct,0
155,2025-05-16,Germany,,6.69,4,5,0,Twitter,0
156,2023-07-18,CAN,,10.65,0,10,0,LinkedIn,3
157,2025-02-14,Nigeria,,26.97,7,13,0,,1
158,2024-12-28,,basic,-4.17,4,7,0,Direct,2
159,2023-08-14,Canada,basic,-3.8,6,6,0,LinkedIn,2
160,2020-06-26,Canada,Enterprise,8.91,1,10,0,,2
161,2023-08-28,Nigeria,pro,8.68,3,14,0,Google Ads,2
162,2021-04-23,United States,basic,15.73,2,14,0,Google Ads,0
163,2020-01-16,,Pro,105.46,5,8,0,Referral,1
164,2020-04-19,Germany,,-6.67,3,9,0,Referral,1
165,2024-11-28,United Kingdom,Pro,48.14,1,10,0,LinkedIn,0
166,2021-01-20,United Kingdom,Enterprise,58.8,5,8,0,Google Ads,4
167,2024-08-14,,Pro,7.19,2,8,0,Facebook,0
168,2020-09-22,UK,basic,16.8,3,5,0,,1
169,2020-09-25,Nigeria,,101.87,5,12,1,Direct,0
170,2020-08-12,,basic,5.9,1,12,1,Direct,1
171,2021-12-28,Germany,basic,1.27,3,11,0,Referral,1
172,2020-02-17,United Kingdom,basic,51.74,4,9,0,,0
173,2024-10-11,United States,Free,30.16,3,8,0,Twitter,1
174,2022-10-28,CAN,Free,9.54,0,12,1,Facebook,3
175,2021-09-06,Germany,basic,20.35,2,11,0,Twitter,1
176,2024-06-13,Canada,basic,21.6,3,12,0,Google Ads,1
177,2023-09-07,US,,30.0,5,11,0,Facebook,1
178,2024-03-18,,,7.49,1,10,0,,0
179,2021-06-13,USA,Pro,41.08,2,10,0,Direct,2
180,2025-02-14,UK,pro,103.12,2,9,0,Facebook,1
181,2025-03-05,UK,,19.27,4,9,0,Referral,2
182,2023-07-29,UK,Basic,11.64,1,11,0,Twitter,2
183,2025-07-01,,pro,10.93,5,11,0,,2
184,2023-02-16,United States,basic,1.57,3,10,0,Twitter,0
185,2024-07-29,USA,Pro,18.74,3,16,0,Facebook,1
186,2020-05-06,Nigeria,,0.89,5,9,0,,2
187,2020-04-09,United States,basic,14.02,1,6,0,Twitter,0
188,2021-04-13,US,,11.67,3,6,0,Facebook,0
189,2020-04-25,US,Free,-7.08,3,12,0,,1
190,2021-05-20,Nigeria,Free,49.86,4,7,1,Facebook,1
191,2022-02-12,Germany,Free,53.24,4,12,0,LinkedIn,0
192,2020-06-04,Nigeria,,0.5,1,4,0,,0
193,2020-07-26,NGA,Pro,206.81,6,7,0,LinkedIn,4
194,2024-09-06,Canada,Basic,-4.51,2,12,0,LinkedIn,0
195,2024-03-29,US,,17.95,6,8,0,,2
196,2023-11-04,United Kingdom,,101.48,2,10,0,Referral,1
197,2020-01-14,CA,Free,19.66,2,6,0,,4
198,2021-09-18,NGA,pro,10.14,6,12,0,LinkedIn,1
199,2024-07-10,United States,pro,5.55,4,7,0,Direct,1
200,2020-02-14,Canada,Free,23.05,2,9,0,Twitter,1
201,2024-11-10,NGA,,45.37,6,12,0,Direct,1
202,2024-07-30,United Kingdom,Enterprise,57.12,2,9,0,LinkedIn,2
203,2020-11-05,United Kingdom,,199.63,2,14,0,Referral,2
204,2022-05-10,CA,basic,107.7,3,6,0,Referral,1
205,2023-01-27,US,basic,48.29,2,12,0,Referral,0
206,2020-07-22,United Kingdom,Pro,5.83,9,13,0,Twitter,1
207,2025-01-13,NGA,basic,211.77,5,10,0,Direct,1
208,2022-03-04,Canada,pro,1.34,2,6,0,Google Ads,0
209,2023-10-31,CA,pro,52.28,6,12,0,Twitter,0
210,2024-09-28,USA,Basic,6.39,5,16,1,Twitter,2
211,2022-06-15,,pro,49.54,1,11,0,LinkedIn,1
212,2023-09-15,Nigeria,,15.67,2,15,0,Facebook,3
213,2021-10-01,,basic,16.39,5,6,0,Direct,1
214,2022-12-18,UK,,51.03,2,9,0,,2
215,2024-07-03,United States,Enterprise,3.53,3,12,0,LinkedIn,1
216,2021-08-07,,pro,43.14,3,10,0,Direct,1
217,2022-05-27,United States,pro,15.87,6,10,0,,0
218,2024-07-01,,Free,96.92,3,9,0,Facebook,3
219,2020-09-07,CA,,16.4,0,9,0,Google Ads,1
220,2024-09-29,USA,pro,1.84,2,12,0,Direct,0
221,2021-03-04,UK,,11.36,2,9,0,Referral,0
222,2020-03-16,,Basic,9.63,0,15,0,Referral,0
223,2021-12-13,UK,pro,9.03,3,15,0,,0
224,2023-05-24,,Pro,-2.89,2,6,0,Direct,2
225,2025-05-05,UK,Free,29.13,0,6,0,Direct,0
226,2024-06-24,Germany,Enterprise,11.4,1,8,0,Twitter,0
227,2023-10-16,United States,pro,61.56,3,7,0,,3
228,2021-03-23,CAN,,1.04,2,13,0,Google Ads,0
229,2021-02-14,United Kingdom,Enterprise,47.9,2,12,0,Twitter,1
230,2022-10-28,United Kingdom,Free,40.44,2,10,1,Direct,1
231,2022-12-07,UK,basic,105.71,3,8,0,Direct,0
232,2023-08-15,,pro,10.43,2,8,0,Facebook,1
233,2023-07-03,,Free,32.44,3,5,0,,1
234,2022-03-14,CAN,pro,104.39,3,6,0,Twitter,2
235,2022-03-31,UK,basic,-2.13,4,10,1,Google Ads,0
236,2024-01-05,Canada,Enterprise,20.05,3,11,0,Referral,1
237,2022-07-10,CA,,25.57,3,11,1,Google Ads,0
238,2020-07-24,CAN,Free,-3.69,3,9,0,Facebook,0
239,2022-01-06,Germany,Enterprise,30.78,3,6,0,,0
240,2021-04-04,US,,107.65,3,8,0,Twitter,1
241,2022-02-16,CAN,,17.38,0,6,0,Twitter,3
242,2021-11-13,NGA,Enterprise,21.74,4,12,0,Twitter,1
243,2021-12-03,CA,Basic,13.33,4,10,0,Direct,1
244,2020-12-08,Canada,basic,7.61,4,10,0,,1
245,2020-06-20,Canada,Free,6.48,1,13,0,Direct,2
246,2022-06-04,Germany,Enterprise,17.87,3,15,0,Referral,0
247,2023-04-08,UK,Pro,10.49,3,10,1,Referral,0
248,2022-05-09,,,7.61,2,10,0,LinkedIn,0
249,2025-05-14,,Pro,15.12,5,9,0,Facebook,1
250,2022-07-01,Nigeria,Free,19.92,4,17,1,Google Ads,3
251,2022-09-02,United Kingdom,,53.52,3,14,0,Direct,1
252,2021-08-25,,Free,5.87,3,12,0,Facebook,0
253,2021-11-01,USA,Enterprise,189.46,3,11,0,,0
254,2021-01-12,,Pro,9.68,6,13,0,Facebook,1
255,2021-11-18,Canada,Enterprise,4.73,3,7,0,LinkedIn,0
256,2024-12-30,,Basic,18.38,5,8,0,,0
257,2020-02-08,CA,Basic,-6.58,5,8,0,Direct,1
258,2023-01-20,US,Pro,-5.76,1,12,0,Google Ads,0
259,2020-08-06,US,Basic,56.69,5,15,0,LinkedIn,1
260,2021-10-18,,pro,19.82,3,8,1,Direct,0
261,2022-08-20,United States,,0.37,2,13,0,Facebook,0
262,2022-06-20,CAN,basic,-1.84,2,8,0,,2
263,2022-02-05,CAN,Free,7.16,9,12,0,,2
264,2025-04-20,CAN,Pro,199.53,2,11,0,,3
265,2020-12-17,US,,0.83,2,7,0,Direct,1
266,2020-08-26,,pro,32.58,5,8,0,Twitter,0
267,2025-04-06,UK,Pro,23.56,5,11,0,Google Ads,1
268,2023-12-20,CA,basic,2.89,3,9,0,,0
269,2024-12-12,United States,pro,-2.38,3,9,0,Facebook,1
270,2025-07-28,United States,Pro,26.79,4,6,1,Direct,2
271,2020-10-04,Nigeria,Enterprise,15.25,4,10,0,Twitter,1
272,2020-08-14,Nigeria,,1.68,6,7,0,Facebook,0
273,2020-11-05,Nigeria,basic,16.18,1,11,0,Direct,0
274,2024-06-18,US,pro,195.53,4,10,0,Twitter,2
275,2021-11-16,Nigeria,Enterprise,50.75,1,11,0,Direct,0
276,2021-01-11,CAN,Pro,13.11,2,10,0,LinkedIn,0
277,2025-07-24,US,Enterprise,-0.84,5,13,0,,1
278,2024-09-13,United Kingdom,pro,16.96,2,5,0,Facebook,1
279,2023-12-29,,basic,13.34,3,11,0,Facebook,2
280,2021-12-07,,,9.46,3,10,0,,0
281,2023-06-18,UK,,202.61,2,12,0,Direct,3
282,2023-10-11,CA,Enterprise,19.94,5,8,0,,0
283,2025-04-23,Germany,Enterprise,23.47,0,9,0,Facebook,1
284,2023-08-27,CA,pro,14.66,5,9,0,Twitter,1
285,2020-10-17,UK,,-4.23,2,13,0,Referral,3
286,2023-08-20,USA,Enterprise,94.01,3,8,0,Facebook,0
287,2024-01-30,CAN,Free,-0.46,4,10,0,LinkedIn,3
288,2023-03-04,,,12.72,4,13,0,Direct,0
289,2021-01-26,Nigeria,Enterprise,7.01,4,10,0,Facebook,2
290,2020-06-27,,Basic,21.75,2,7,0,Referral,0
291,2024-03-18,USA,basic,5.38,4,8,0,Google Ads,0
292,2025-02-18,UK,Free,26.42,4,8,0,Referral,2
293,2023-10-01,Germany,,21.03,3,16,0,LinkedIn,0
294,2021-02-07,Germany,Basic,3.78,2,8,0,LinkedIn,0
295,2022-03-25,US,Basic,0.86,4,8,0,Direct,1
296,2022-08-20,US,Pro,14.16,3,7,1,Referral,3
297,2023-11-19,CAN,Pro,49.12,1,6,1,Referral,0
298,2025-02-09,US,,7.73,4,10,0,Twitter,3
299,2025-01-21,US,Free,21.87,6,13,0,LinkedIn,2
300,2024-12-27,CA,Enterprise,2.8,1,8,0,Google Ads,2
301,2022-04-21,CA,basic,17.62,6,9,0,Facebook,3
302,2020-09-29,USA,basic,8.43,0,7,0,Facebook,1
303,2021-05-24,,Free,39.6,4,10,0,Referral,3
304,2021-02-25,Germany,,17.48,1,11,0,Direct,1
305,2022-03-17,CAN,pro,21.94,1,11,1,Google Ads,0
306,2023-02-15,,Basic,12.34,6,12,0,Twitter,2
307,2024-01-15,Canada,basic,-5.48,2,10,0,LinkedIn,0
308,2023-01-10,United Kingdom,Basic,6.7,4,11,0,,0
309,2023-10-14,CA,Free,100.18,1,10,1,LinkedIn,0
310,2025-05-19,USA,Enterprise,106.07,1,10,0,,1
311,2023-09-17,,pro,-0.65,7,14,1,Referral,2
312,2020-08-28,USA,pro,-2.04,4,4,0,Twitter,0
313,2020-07-10,Nigeria,Free,29.08,3,11,0,Google Ads,0
314,2024-02-16,United Kingdom,Basic,0.7,3,9,0,Referral,1
315,2021-07-01,CAN,basic,-6.59,4,7,0,Google Ads,0
316,2023-11-11,,Enterprise,17.55,4,7,1,,0
317,2024-10-22,USA,Enterprise,-1.74,4,9,0,Twitter,2
318,2024-06-07,Nigeria,Free,49.41,1,12,0,Google Ads,1
319,2022-04-15,NGA,Enterprise,23.89,4,11,0,LinkedIn,4
320,2024-09-17,United States,,103.2,4,8,0,Direct,1
321,2022-05-02,Germany,Pro,200.84,4,15,0,Twitter,1
322,2023-05-16,NGA,basic,19.99,3,9,1,Twitter,1
323,2025-01-29,Nigeria,,47.27,7,19,0,,1
324,2023-08-30,United Kingdom,Basic,17.59,1,12,0,,2
325,2022-09-06,US,Basic,5.7,2,12,0,Facebook,2
326,2021-06-20,Germany,,3.02,4,10,0,Google Ads,1
327,2022-03-31,CAN,Enterprise,7.7,2,13,0,Google Ads,0
328,2024-06-20,Germany,Basic,26.47,3,11,0,LinkedIn,1
329,2020-07-05,NGA,Free,104.42,3,9,0,Facebook,0
330,2023-03-17,,Free,-6.89,2,12,0,Facebook,2
331,2022-08-13,,Pro,19.98,4,14,0,LinkedIn,0
332,2024-06-05,Canada,,3.22,4,10,0,Facebook,1
333,2024-11-13,Canada,pro,11.18,2,8,0,,0
334,2024-06-20,United Kingdom,basic,21.55,3,8,0,,2
335,2025-01-16,CA,,3.41,3,7,1,Twitter,3
336,2020-06-30,Germany,Pro,23.07,6,12,0,Facebook,0
337,2021-11-23,United Kingdom,pro,16.6,2,8,0,Direct,2
338,2024-12-19,CAN,Enterprise,-1.38,0,17,0,Direct,3
339,2021-06-07,CAN,Basic,9.46,4,6,0,,0
340,2021-10-28,Nigeria,,22.22,3,9,0,Google Ads,1
341,2024-09-18,NGA,Pro,53.16,3,15,0,Twitter,1
342,2024-03-08,,,27.22,4,15,0,Google Ads,0
343,2022-06-29,CA,Basic,7.6,3,4,1,,1
344,2024-11-08,CAN,Pro,1.87,2,10,0,Direct,1
345,2021-09-20,United Kingdom,pro,15.6,4,13,0,Twitter,1
346,2020-06-02,CAN,Enterprise,104.27,4,8,0,,2
347,2025-05-09,Canada,Basic,20.53,2,12,0,Google Ads,4
348,2020-02-03,Canada,Enterprise,23.16,3,10,0,Twitter,2
349,2022-10-18,United States,basic,26.08,3,7,0,Facebook,0
350,2024-07-17,CA,Free,17.11,3,10,0,,0
351,2023-12-30,United Kingdom,,15.25,7,10,0,Referral,1
352,2021-06-06,UK,Basic,17.08,2,5,0,LinkedIn,0
353,2020-12-12,UK,Pro,11.53,1,14,0,Google Ads,1
354,2021-01-25,Germany,Enterprise,7.7,2,15,0,Facebook,5
355,2023-02-10,Canada,Pro,206.45,4,10,0,,0
356,2024-12-30,NGA,Basic,201.76,2,15,0,Referral,2
357,2021-06-14,USA,Free,14.69,4,8,1,Twitter,2
358,2020-09-28,USA,Pro,4.99,4,5,1,Google Ads,1
359,2023-03-14,Germany,basic,4.53,5,6,0,,0
360,2023-07-01,Germany,Free,42.5,6,6,0,LinkedIn,0
361,2022-07-16,,,12.55,4,11,0,Google Ads,3
362,2021-08-22,Nigeria,Free,7.49,2,8,0,Direct,0
363,2021-01-01,Canada,basic,17.7,3,10,0,Facebook,0
364,2024-10-17,NGA,Enterprise,14.64,4,8,0,,0
365,2024-02-10,United Kingdom,Free,13.23,6,11,0,Google Ads,2
366,2021-10-20,UK,Basic,100.5,6,13,0,Google Ads,1
367,2024-12-15,Nigeria,Free,49.62,3,19,0,Facebook,0
368,2022-04-13,CA,pro,-6.58,3,6,0,Twitter,2
369,2020-11-11,UK,pro,-5.67,2,12,0,Twitter,0
370,2024-08-16,NGA,basic,7.62,4,7,0,Referral,2
371,2021-02-07,Nigeria,Enterprise,11.86,2,9,0,,4
372,2020-03-11,,,-11.66,0,8,0,Referral,3
373,2024-08-17,Canada,,21.89,2,12,1,,1
374,2022-09-04,UK,Enterprise,23.3,1,13,0,Direct,1
375,2022-11-19,CA,Basic,17.22,3,16,0,Direct,1
376,2023-03-10,,Basic,13.5,4,16,0,Referral,1
377,2022-04-29,USA,pro,26.92,0,8,0,Facebook,1
378,2024-09-22,NGA,basic,23.9,3,14,0,Referral,1
379,2023-02-26,Germany,,15.48,2,6,0,LinkedIn,1
380,2024-11-27,NGA,,94.63,1,7,0,Referral,0
381,2021-05-03,Nigeria,Pro,12.07,1,15,0,Google Ads,3
382,2022-08-01,Nigeria,,16.77,0,12,0,Direct,0
383,2025-05-28,Canada,Free,5.38,4,7,0,Facebook,2
384,2020-02-24,CA,Basic,44.47,4,4,0,Direct,0
385,2020-11-15,CA,,0.98,4,10,0,LinkedIn,2
386,2023-12-06,,Basic,99.02,1,9,0,Facebook,0
387,2023-06-25,CA,Basic,3.77,3,15,0,LinkedIn,1
388,2024-11-21,CA,Free,53.64,5,10,0,Twitter,0
389,2025-02-19,CAN,Pro,44.91,6,8,0,Referral,0
390,2020-06-22,UK,Basic,1.44,1,8,0,Google Ads,2
391,2024-05-08,USA,Basic,5.7,2,8,0,Google Ads,2
392,2024-12-07,United Kingdom,,99.18,5,12,0,LinkedIn,1
393,2021-07-03,CAN,basic,107.01,4,2,0,,0
394,2024-04-24,US,Pro,13.01,2,8,0,LinkedIn,0
395,2022-01-20,CAN,Basic,5.96,2,10,0,Google Ads,0
396,2023-12-24,CAN,,44.28,1,4,1,Facebook,0
397,2023-07-12,US,,24.66,5,7,0,,0
398,2020-04-27,Canada,pro,96.52,2,5,1,,1
399,2025-01-05,US,pro,92.52,2,7,0,Direct,1
400,2020-03-30,United States,basic,191.32,3,9,0,,3
401,2024-11-29,NGA,Enterprise,8.1,2,14,1,Twitter,0
402,2023-08-11,UK,Free,12.63,3,10,1,Twitter,0
403,2023-07-13,US,pro,54.74,3,7,0,LinkedIn,0
404,2022-04-03,CAN,basic,205.48,5,10,0,Direct,0
405,2020-03-19,NGA,Free,107.04,2,8,0,Direct,1
406,2021-12-04,CAN,Enterprise,3.55,2,14,0,Referral,2
407,2021-08-16,CAN,Enterprise,208.81,5,17,0,,2
408,2023-08-03,Canada,Basic,21.61,5,14,0,Twitter,1
409,2020-10-03,United Kingdom,Free,22.91,1,6,0,Twitter,3
410,2021-05-29,,Pro,7.74,3,10,0,,4
411,2020-10-04,,Basic,38.36,7,10,0,Facebook,2
412,2023-12-21,NGA,Free,-3.94,2,7,0,Google Ads,1
413,2020-11-01,United Kingdom,basic,-0.99,2,15,0,Facebook,0
414,2020-10-01,UK,basic,23.48,2,13,0,Twitter,2
415,2024-03-06,CAN,Free,21.07,4,5,0,Twitter,0
416,2020-07-15,Germany,Free,5.97,2,14,1,,1
417,2020-10-22,NGA,,95.63,3,7,0,Facebook,2
418,2021-08-07,USA,basic,5.27,6,9,0,Google Ads,0
419,2021-09-18,CA,,105.79,5,8,0,,3
420,2023-01-10,United Kingdom,basic,4.99,4,5,0,Referral,0
421,2025-02-08,United Kingdom,,51.39,4,8,0,Facebook,2
422,2020-09-25,United States,pro,16.59,2,11,0,LinkedIn,3
423,2024-05-14,Germany,Basic,-0.54,2,6,0,Facebook,1
424,2024-04-04,CA,Pro,50.91,5,8,0,Google Ads,0
425,2020-01-10,Nigeria,pro,17.02,4,10,0,LinkedIn,2
426,2021-03-09,CA,Enterprise,20.01,1,6,0,Facebook,2
427,2021-11-29,United States,Free,26.87,1,11,0,Google Ads,3
428,2020-02-20,CAN,Pro,4.66,2,13,0,Google Ads,0
429,2023-11-23,United Kingdom,Free,49.17,5,10,0,Twitter,1
430,2024-09-11,CAN,Enterprise,26.22,3,9,0,Direct,0
431,2021-08-15,US,Pro,9.44,4,12,0,Referral,0
