signup_date,country,plan_type,monthly_revenue,active_users,logins_last_30_days,churned,referral_source,support_tickets,year,month,day
2020-02-15,Canada,Premium,100,2,10,No,LinkedIn,2,2020,Feb,15
2025-02-28,United states,Basic,50,4,13,No,Twitter,1,2025,Feb,28
2023-05-20,United states,Premium,100,4,13,No,Facebook,1,2023,May,20
2021-09-22,United states,Premium,100,3,7,No,Referral,2,2021,Sep,22
2021-01-29,Canada,Basic,50,6,11,No,Twitter,1,2021,Jan,29
2022-06-29,United states,Basic,50,0,7,No,Twitter,0,2022,Jun,29
2023-08-18,Nigeria,Premium,100,2,12,No,Google Ads,2,2023,Aug,18
2020-03-11,Canada,Premium,100,3,9,No,Facebook,2,2020,Mar,11
2021-09-18,Germany,Enterprise,500,4,12,No,Google Ads,3,2021,Sep,18
2020-02-12,Nigeria,Enterprise,500,6,12,No,Direct,1,2020,Feb,12
2023-04-30,Nigeria,Free,0,6,19,Yes,Google Ads,2,2023,Apr,30
2020-11-30,Germany,Free,0,1,12,No,Referral,0,2020,Nov,30
2020-05-20,United states,Premium,100,3,7,No,Referral,1,2020,May,20
2022-12-16,Canada,Premium,100,3,10,Yes,LinkedIn,1,2022,Dec,16
2023-04-14,United kingdom,Basic,50,1,8,No,Google Ads,1,2023,Apr,14
2020-03-23,Canada,Basic,50,6,7,No,Referral,0,2020,Mar,23
2024-12-17,United states,Free,0,7,8,No,Referral,1,2024,Dec,17
2025-02-08,Canada,Basic,50,4,8,No,Referral,1,2025,Feb,8
2022-05-01,Germany,Free,0,2,8,No,Referral,0,2022,May,1
2020-06-29,United kingdom,Basic,50,3,10,Yes,Referral,1,2020,Jun,29
2021-12-09,Germany,Basic,50,5,10,No,Google Ads,0,2021,Dec,9
2020-08-21,United states,Basic,50,1,5,Yes,Facebook,1,2020,Aug,21
2021-08-28,United states,Basic,50,2,9,No,Twitter,0,2021,Aug,28
2024-09-02,Germany,Basic,50,1,6,Yes,Twitter,2,2024,Sep,2
2024-02-17,United states,Free,0,3,9,No,Referral,0,2024,Feb,17
2024-05-11,United states,Free,0,0,11,No,Google Ads,1,2024,May,11
2025-03-18,United kingdom,Basic,50,6,11,No,Google Ads,0,2025,Mar,18
2021-03-01,United kingdom,Premium,100,1,14,No,Referral,0,2021,Mar,1
2021-04-01,Canada,Premium,100,1,14,No,Twitter,0,2021,Apr,1
2023-05-10,Canada,Free,0,1,14,No,Direct,0,2023,May,10
2023-10-07,Nigeria,Free,0,2,6,No,Direct,1,2023,Oct,7
2020-04-24,Nigeria,Free,0,4,12,No,Direct,0,2020,Apr,24
2021-01-24,United kingdom,Premium,100,3,11,Yes,Facebook,0,2021,Jan,24
2023-06-07,United states,Premium,100,0,9,Yes,Direct,1,2023,Jun,7
2024-12-24,Canada,Basic,50,3,8,No,Facebook,1,2024,Dec,24
2021-08-04,Nigeria,Basic,50,5,9,No,LinkedIn,0,2021,Aug,4
2024-07-13,United states,Basic,50,4,10,Yes,Twitter,1,2024,Jul,13
2020-07-02,Canada,Basic,50,2,10,No,Referral,3,2020,Jul,2
2023-01-14,United kingdom,Premium,100,2,8,No,Referral,2,2023,Jan,14
2023-06-05,United states,Basic,50,2,11,No,Referral,4,2023,Jun,5
2024-09-15,United states,Premium,100,3,12,No,Twitter,1,2024,Sep,15
2023-08-30,United states,Premium,100,2,11,No,Direct,1,2023,Aug,30
2021-09-22,United kingdom,Premium,100,1,11,No,Direct,0,2021,Sep,22
2022-05-30,United states,Free,0,3,9,No,Twitter,1,2022,May,30
2025-07-05,United kingdom,Enterprise,500,5,8,No,Direct,0,2025,Jul,5
2024-01-28,United states,Enterprise,500,2,7,No,Direct,0,2024,Jan,28
2020-10-23,Canada,Premium,100,2,5,No,Facebook,0,2020,Oct,23
2022-08-03,United states,Premium,100,4,10,No,Referral,1,2022,Aug,3
2024-08-18,United states,Enterprise,500,5,10,No,LinkedIn,0,2024,Aug,18
2024-09-22,United states,Premium,100,4,15,No,Facebook,0,2024,Sep,22
2023-06-27,Nigeria,Premium,100,4,13,No,LinkedIn,1,2023,Jun,27
2023-04-15,Canada,Basic,50,4,6,No,LinkedIn,3,2023,Apr,15
2025-07-23,United states,Free,0,1,14,No,Facebook,1,2025,Jul,23
2020-12-21,Canada,Free,0,4,10,No,Facebook,3,2020,Dec,21
2022-04-28,Nigeria,Enterprise,500,3,12,No,Referral,0,2022,Apr,28
2020-05-21,Nigeria,Enterprise,500,5,8,No,Facebook,3,2020,May,21
2020-08-28,United states,Basic,50,2,10,Yes,Facebook,3,2020,Aug,28
2023-08-29,United kingdom,Premium,100,4,10,No,Facebook,0,2023,Aug,29
2021-12-06,United kingdom,Enterprise,500,3,12,No,Facebook,1,2021,Dec,6
2023-04-14,Canada,Premium,100,6,10,No,Facebook,0,2023,Apr,14
2020-10-23,United kingdom,Premium,100,3,11,Yes,Facebook,2,2020,Oct,23
2025-01-28,United states,Premium,100,3,6,No,Direct,1,2025,Jan,28
2021-11-29,United states,Premium,100,0,13,No,Direct,0,2021,Nov,29
2023-06-28,United states,Enterprise,500,3,10,Yes,LinkedIn,0,2023,Jun,28
2025-04-10,Canada,Enterprise,500,6,6,No,LinkedIn,2,2025,Apr,10
2025-02-15,Canada,Premium,100,7,13,Yes,Google Ads,0,2025,Feb,15
2023-05-20,Canada,Enterprise,500,0,13,No,Twitter,1,2023,May,20
2025-07-18,Canada,Basic,50,1,8,No,Referral,1,2025,Jul,18
2025-05-17,United states,Basic,50,2,12,No,Referral,1,2025,May,17
2022-07-10,Canada,Basic,50,5,13,No,Facebook,2,2022,Jul,10
2024-07-31,United kingdom,Basic,50,3,9,No,Twitter,0,2024,Jul,31
2023-02-01,United kingdom,Free,0,2,13,No,Direct,0,2023,Feb,1
2020-04-30,United states,Enterprise,500,2,5,Yes,Direct,2,2020,Apr,30
2023-01-01,Canada,Basic,50,4,10,No,Direct,2,2023,Jan,1
2025-07-24,United states,Basic,50,1,17,No,Referral,2,2025,Jul,24
2022-03-26,Canada,Basic,50,0,10,No,Google Ads,1,2022,Mar,26
2020-04-26,Canada,Basic,50,3,7,No,Google Ads,0,2020,Apr,26
2020-11-27,Canada,Premium,100,3,13,No,Google Ads,3,2020,Nov,27
2024-05-24,United states,Premium,100,6,13,No,Facebook,0,2024,May,24
2022-03-05,United states,Basic,50,3,5,No,LinkedIn,1,2022,Mar,5
2022-11-20,United kingdom,Basic,50,3,11,No,Google Ads,0,2022,Nov,20
2023-01-10,United states,Basic,50,5,18,No,Referral,0,2023,Jan,10
2021-03-24,Canada,Premium,100,4,7,Yes,Direct,0,2021,Mar,24
2022-07-01,Canada,Premium,100,2,14,No,Google Ads,2,2022,Jul,1
2022-09-19,United states,Premium,100,2,9,No,Google Ads,1,2022,Sep,19
2021-12-25,Canada,Basic,50,2,8,No,Facebook,1,2021,Dec,25
2022-03-04,United kingdom,Basic,50,5,5,No,Referral,2,2022,Mar,4
2024-07-16,Canada,Basic,50,5,11,No,Referral,0,2024,Jul,16
2021-09-14,Nigeria,Enterprise,500,2,7,No,Twitter,3,2021,Sep,14
2021-12-18,Nigeria,Free,0,3,4,No,Google Ads,0,2021,Dec,18
2020-12-21,Canada,Free,0,1,12,No,Twitter,0,2020,Dec,21
2020-10-14,Canada,Premium,100,5,8,No,Twitter,0,2020,Oct,14
2021-09-20,United states,Free,0,3,12,No,Facebook,1,2021,Sep,20
2021-11-08,United states,Premium,100,2,9,No,Direct,0,2021,Nov,8
2025-05-16,Germany,Premium,100,4,5,No,Twitter,0,2025,May,16
2023-07-18,Canada,Premium,100,0,10,No,LinkedIn,3,2023,Jul,18
2025-02-14,Nigeria,Premium,100,7,13,No,LinkedIn,1,2025,Feb,14
2024-12-28,United states,Basic,50,4,7,No,Direct,2,2024,Dec,28
2023-08-14,Canada,Basic,50,6,6,No,LinkedIn,2,2023,Aug,14
2020-06-26,Canada,Enterprise,500,1,10,No,LinkedIn,2,2020,Jun,26
2023-08-28,Nigeria,Premium,100,3,14,No,Google Ads,2,2023,Aug,28
2021-04-23,United states,Basic,50,2,14,No,Google Ads,0,2021,Apr,23
2020-01-16,United states,Premium,100,5,8,No,Referral,1,2020,Jan,16
2020-04-19,Germany,Premium,100,3,9,No,Referral,1,2020,Apr,19
2024-11-28,United kingdom,Premium,100,1,10,No,LinkedIn,0,2024,Nov,28
2021-01-20,United kingdom,Enterprise,500,5,8,No,Google Ads,4,2021,Jan,20
2024-08-14,United states,Premium,100,2,8,No,Facebook,0,2024,Aug,14
2020-09-22,United kingdom,Basic,50,3,5,No,Facebook,1,2020,Sep,22
2020-09-25,Nigeria,Basic,50,5,12,Yes,Direct,0,2020,Sep,25
2020-08-12,United states,Basic,50,1,12,Yes,Direct,1,2020,Aug,12
2021-12-28,Germany,Basic,50,3,11,No,Referral,1,2021,Dec,28
2020-02-17,United kingdom,Basic,50,4,9,No,Referral,0,2020,Feb,17
2024-10-11,United states,Free,0,3,8,No,Twitter,1,2024,Oct,11
2022-10-28,Canada,Free,0,0,12,Yes,Facebook,3,2022,Oct,28
2021-09-06,Germany,Basic,50,2,11,No,Twitter,1,2021,Sep,6
2024-06-13,Canada,Basic,50,3,12,No,Google Ads,1,2024,Jun,13
2023-09-07,United states,Basic,50,5,11,No,Facebook,1,2023,Sep,7
2024-03-18,United states,Basic,50,1,10,No,Facebook,0,2024,Mar,18
2021-06-13,United states,Premium,100,2,10,No,Direct,2,2021,Jun,13
2025-02-14,United kingdom,Premium,100,2,9,No,Facebook,1,2025,Feb,14
2025-03-05,United kingdom,Premium,100,4,9,No,Referral,2,2025,Mar,5
2023-07-29,United kingdom,Basic,50,1,11,No,Twitter,2,2023,Jul,29
2025-07-01,United states,Premium,100,5,11,No,Twitter,2,2025,Jul,1
2023-02-16,United states,Basic,50,3,10,No,Twitter,0,2023,Feb,16
2024-07-29,United states,Premium,100,3,16,No,Facebook,1,2024,Jul,29
2020-05-06,Nigeria,Premium,100,5,9,No,Facebook,2,2020,May,6
2020-04-09,United states,Basic,50,1,6,No,Twitter,0,2020,Apr,9
2021-04-13,United states,Basic,50,3,6,No,Facebook,0,2021,Apr,13
2020-04-25,United states,Free,0,3,12,No,Facebook,1,2020,Apr,25
2021-05-20,Nigeria,Free,0,4,7,Yes,Facebook,1,2021,May,20
2022-02-12,Germany,Free,0,4,12,No,LinkedIn,0,2022,Feb,12
2020-06-04,Nigeria,Free,0,1,4,No,LinkedIn,0,2020,Jun,4
2020-07-26,Nigeria,Premium,100,6,7,No,LinkedIn,4,2020,Jul,26
2024-09-06,Canada,Basic,50,2,12,No,LinkedIn,0,2024,Sep,6
2024-03-29,United states,Basic,50,6,8,No,LinkedIn,2,2024,Mar,29
2023-11-04,United kingdom,Basic,50,2,10,No,Referral,1,2023,Nov,4
2020-01-14,Canada,Free,0,2,6,No,Referral,4,2020,Jan,14
2021-09-18,Nigeria,Premium,100,6,12,No,LinkedIn,1,2021,Sep,18
2024-07-10,United states,Premium,100,4,7,No,Direct,1,2024,Jul,10
2020-02-14,Canada,Free,0,2,9,No,Twitter,1,2020,Feb,14
2024-11-10,Nigeria,Free,0,6,12,No,Direct,1,2024,Nov,10
2024-07-30,United kingdom,Enterprise,500,2,9,No,LinkedIn,2,2024,Jul,30
2020-11-05,United kingdom,Enterprise,500,2,14,No,Referral,2,2020,Nov,5
2022-05-10,Canada,Basic,50,3,6,No,Referral,1,2022,May,10
2023-01-27,United states,Basic,50,2,12,No,Referral,0,2023,Jan,27
2020-07-22,United kingdom,Premium,100,9,13,No,Twitter,1,2020,Jul,22
2025-01-13,Nigeria,Basic,50,5,10,No,Direct,1,2025,Jan,13
2022-03-04,Canada,Premium,100,2,6,No,Google Ads,0,2022,Mar,4
2023-10-31,Canada,Premium,100,6,12,No,Twitter,0,2023,Oct,31
2024-09-28,United states,Basic,50,5,16,Yes,Twitter,2,2024,Sep,28
2022-06-15,United states,Premium,100,1,11,No,LinkedIn,1,2022,Jun,15
2023-09-15,Nigeria,Premium,100,2,15,No,Facebook,3,2023,Sep,15
2021-10-01,United states,Basic,50,5,6,No,Direct,1,2021,Oct,1
2022-12-18,United kingdom,Basic,50,2,9,No,Direct,2,2022,Dec,18
2024-07-03,United states,Enterprise,500,3,12,No,LinkedIn,1,2024,Jul,3
2021-08-07,United states,Premium,100,3,10,No,Direct,1,2021,Aug,7
2022-05-27,United states,Premium,100,6,10,No,Direct,0,2022,May,27
2024-07-01,United states,Free,0,3,9,No,Facebook,3,2024,Jul,1
2020-09-07,Canada,Free,0,0,9,No,Google Ads,1,2020,Sep,7
2024-09-29,United states,Premium,100,2,12,No,Direct,0,2024,Sep,29
2021-03-04,United kingdom,Premium,100,2,9,No,Referral,0,2021,Mar,4
2020-03-16,United states,Basic,50,0,15,No,Referral,0,2020,Mar,16
2021-12-13,United kingdom,Premium,100,3,15,No,Referral,0,2021,Dec,13
2023-05-24,United states,Premium,100,2,6,No,Direct,2,2023,May,24
2025-05-05,United kingdom,Free,0,0,6,No,Direct,0,2025,May,5
2024-06-24,Germany,Enterprise,500,1,8,No,Twitter,0,2024,Jun,24
2023-10-16,United states,Premium,100,3,7,No,Twitter,3,2023,Oct,16
2021-03-23,Canada,Premium,100,2,13,No,Google Ads,0,2021,Mar,23
2021-02-14,United kingdom,Enterprise,500,2,12,No,Twitter,1,2021,Feb,14
2022-10-28,United kingdom,Free,0,2,10,Yes,Direct,1,2022,Oct,28
2022-12-07,United kingdom,Basic,50,3,8,No,Direct,0,2022,Dec,7
2023-08-15,United states,Premium,100,2,8,No,Facebook,1,2023,Aug,15
2023-07-03,United states,Free,0,3,5,No,Facebook,1,2023,Jul,3
2022-03-14,Canada,Premium,100,3,6,No,Twitter,2,2022,Mar,14
2022-03-31,United kingdom,Basic,50,4,10,Yes,Google Ads,0,2022,Mar,31
2024-01-05,Canada,Enterprise,500,3,11,No,Referral,1,2024,Jan,5
2022-07-10,Canada,Enterprise,500,3,11,Yes,Google Ads,0,2022,Jul,10
2020-07-24,Canada,Free,0,3,9,No,Facebook,0,2020,Jul,24
2022-01-06,Germany,Enterprise,500,3,6,No,Facebook,0,2022,Jan,6
2021-04-04,United states,Enterprise,500,3,8,No,Twitter,1,2021,Apr,4
2022-02-16,Canada,Enterprise,500,0,6,No,Twitter,3,2022,Feb,16
2021-11-13,Nigeria,Enterprise,500,4,12,No,Twitter,1,2021,Nov,13
2021-12-03,Canada,Basic,50,4,10,No,Direct,1,2021,Dec,3
2020-12-08,Canada,Basic,50,4,10,No,Direct,1,2020,Dec,8
2020-06-20,Canada,Free,0,1,13,No,Direct,2,2020,Jun,20
2022-06-04,Germany,Enterprise,500,3,15,No,Referral,0,2022,Jun,4
2023-04-08,United kingdom,Premium,100,3,10,Yes,Referral,0,2023,Apr,8
2022-05-09,United states,Premium,100,2,10,No,LinkedIn,0,2022,May,9
2025-05-14,United states,Premium,100,5,9,No,Facebook,1,2025,May,14
2022-07-01,Nigeria,Free,0,4,17,Yes,Google Ads,3,2022,Jul,1
2022-09-02,United kingdom,Free,0,3,14,No,Direct,1,2022,Sep,2
2021-08-25,United states,Free,0,3,12,No,Facebook,0,2021,Aug,25
2021-11-01,United states,Enterprise,500,3,11,No,Facebook,0,2021,Nov,1
2021-01-12,United states,Premium,100,6,13,No,Facebook,1,2021,Jan,12
2021-11-18,Canada,Enterprise,500,3,7,No,LinkedIn,0,2021,Nov,18
2024-12-30,United states,Basic,50,5,8,No,LinkedIn,0,2024,Dec,30
2020-02-08,Canada,Basic,50,5,8,No,Direct,1,2020,Feb,8
2023-01-20,United states,Premium,100,1,12,No,Google Ads,0,2023,Jan,20
2020-08-06,United states,Basic,50,5,15,No,LinkedIn,1,2020,Aug,6
2021-10-18,United states,Premium,100,3,8,Yes,Direct,0,2021,Oct,18
2022-08-20,United states,Premium,100,2,13,No,Facebook,0,2022,Aug,20
2022-06-20,Canada,Basic,50,2,8,No,Facebook,2,2022,Jun,20
2022-02-05,Canada,Free,0,9,12,No,Facebook,2,2022,Feb,5
2025-04-20,Canada,Premium,100,2,11,No,Facebook,3,2025,Apr,20
2020-12-17,United states,Premium,100,2,7,No,Direct,1,2020,Dec,17
2020-08-26,United states,Premium,100,5,8,No,Twitter,0,2020,Aug,26
2025-04-06,United kingdom,Premium,100,5,11,No,Google Ads,1,2025,Apr,6
2023-12-20,Canada,Basic,50,3,9,No,Google Ads,0,2023,Dec,20
2024-12-12,United states,Premium,100,3,9,No,Facebook,1,2024,Dec,12
2025-07-28,United states,Premium,100,4,6,Yes,Direct,2,2025,Jul,28
2020-10-04,Nigeria,Enterprise,500,4,10,No,Twitter,1,2020,Oct,4
2020-08-14,Nigeria,Enterprise,500,6,7,No,Facebook,0,2020,Aug,14
2020-11-05,Nigeria,Basic,50,1,11,No,Direct,0,2020,Nov,5
2024-06-18,United states,Premium,100,4,10,No,Twitter,2,2024,Jun,18
2021-11-16,Nigeria,Enterprise,500,1,11,No,Direct,0,2021,Nov,16
2021-01-11,Canada,Premium,100,2,10,No,LinkedIn,0,2021,Jan,11
2025-07-24,United states,Enterprise,500,5,13,No,LinkedIn,1,2025,Jul,24
2024-09-13,United kingdom,Premium,100,2,5,No,Facebook,1,2024,Sep,13
2023-12-29,United states,Basic,50,3,11,No,Facebook,2,2023,Dec,29
2021-12-07,United states,Basic,50,3,10,No,Facebook,0,2021,Dec,7
2023-06-18,United kingdom,Basic,50,2,12,No,Direct,3,2023,Jun,18
2023-10-11,Canada,Enterprise,500,5,8,No,Direct,0,2023,Oct,11
2025-04-23,Germany,Enterprise,500,0,9,No,Facebook,1,2025,Apr,23
2023-08-27,Canada,Premium,100,5,9,No,Twitter,1,2023,Aug,27
2020-10-17,United kingdom,Premium,100,2,13,No,Referral,3,2020,Oct,17
2023-08-20,United states,Enterprise,500,3,8,No,Facebook,0,2023,Aug,20
2024-01-30,Canada,Free,0,4,10,No,LinkedIn,3,2024,Jan,30
2023-03-04,United states,Free,0,4,13,No,Direct,0,2023,Mar,4
2021-01-26,Nigeria,Enterprise,500,4,10,No,Facebook,2,2021,Jan,26
2020-06-27,United states,Basic,50,2,7,No,Referral,0,2020,Jun,27
2024-03-18,United states,Basic,50,4,8,No,Google Ads,0,2024,Mar,18
2025-02-18,United kingdom,Free,0,4,8,No,Referral,2,2025,Feb,18
2023-10-01,Germany,Free,0,3,16,No,LinkedIn,0,2023,Oct,1
2021-02-07,Germany,Basic,50,2,8,No,LinkedIn,0,2021,Feb,7
2022-03-25,United states,Basic,50,4,8,No,Direct,1,2022,Mar,25
2022-08-20,United states,Premium,100,3,7,Yes,Referral,3,2022,Aug,20
2023-11-19,Canada,Premium,100,1,6,Yes,Referral,0,2023,Nov,19
2025-02-09,United states,Premium,100,4,10,No,Twitter,3,2025,Feb,9
2025-01-21,United states,Free,0,6,13,No,LinkedIn,2,2025,Jan,21
2024-12-27,Canada,Enterprise,500,1,8,No,Google Ads,2,2024,Dec,27
2022-04-21,Canada,Basic,50,6,9,No,Facebook,3,2022,Apr,21
2020-09-29,United states,Basic,50,0,7,No,Facebook,1,2020,Sep,29
2021-05-24,United states,Free,0,4,10,No,Referral,3,2021,May,24
2021-02-25,Germany,Free,0,1,11,No,Direct,1,2021,Feb,25
2022-03-17,Canada,Premium,100,1,11,Yes,Google Ads,0,2022,Mar,17
2023-02-15,United states,Basic,50,6,12,No,Twitter,2,2023,Feb,15
2024-01-15,Canada,Basic,50,2,10,No,LinkedIn,0,2024,Jan,15
2023-01-10,United kingdom,Basic,50,4,11,No,LinkedIn,0,2023,Jan,10
2023-10-14,Canada,Free,0,1,10,Yes,LinkedIn,0,2023,Oct,14
2025-05-19,United states,Enterprise,500,1,10,No,LinkedIn,1,2025,May,19
2023-09-17,United states,Premium,100,7,14,Yes,Referral,2,2023,Sep,17
2020-08-28,United states,Premium,100,4,4,No,Twitter,0,2020,Aug,28
2020-07-10,Nigeria,Free,0,3,11,No,Google Ads,0,2020,Jul,10
2024-02-16,United kingdom,Basic,50,3,9,No,Referral,1,2024,Feb,16
2021-07-01,Canada,Basic,50,4,7,No,Google Ads,0,2021,Jul,1
2023-11-11,United states,Enterprise,500,4,7,Yes,Google Ads,0,2023,Nov,11
2024-10-22,United states,Enterprise,500,4,9,No,Twitter,2,2024,Oct,22
2024-06-07,Nigeria,Free,0,1,12,No,Google Ads,1,2024,Jun,7
2022-04-15,Nigeria,Enterprise,500,4,11,No,LinkedIn,4,2022,Apr,15
2024-09-17,United states,Enterprise,500,4,8,No,Direct,1,2024,Sep,17
2022-05-02,Germany,Premium,100,4,15,No,Twitter,1,2022,May,2
2023-05-16,Nigeria,Basic,50,3,9,Yes,Twitter,1,2023,May,16
2025-01-29,Nigeria,Basic,50,7,19,No,Twitter,1,2025,Jan,29
2023-08-30,United kingdom,Basic,50,1,12,No,Twitter,2,2023,Aug,30
2022-09-06,United states,Basic,50,2,12,No,Facebook,2,2022,Sep,6
2021-06-20,Germany,Basic,50,4,10,No,Google Ads,1,2021,Jun,20
2022-03-31,Canada,Enterprise,500,2,13,No,Google Ads,0,2022,Mar,31
2024-06-20,Germany,Basic,50,3,11,No,LinkedIn,1,2024,Jun,20
2020-07-05,Nigeria,Free,0,3,9,No,Facebook,0,2020,Jul,5
2023-03-17,United states,Free,0,2,12,No,Facebook,2,2023,Mar,17
2022-08-13,United states,Premium,100,4,14,No,LinkedIn,0,2022,Aug,13
2024-06-05,Canada,Premium,100,4,10,No,Facebook,1,2024,Jun,5
2024-11-13,Canada,Premium,100,2,8,No,Facebook,0,2024,Nov,13
2024-06-20,United kingdom,Basic,50,3,8,No,Facebook,2,2024,Jun,20
2025-01-16,Canada,Basic,50,3,7,Yes,Twitter,3,2025,Jan,16
2020-06-30,Germany,Premium,100,6,12,No,Facebook,0,2020,Jun,30
2021-11-23,United kingdom,Premium,100,2,8,No,Direct,2,2021,Nov,23
2024-12-19,Canada,Enterprise,500,0,17,No,Direct,3,2024,Dec,19
2021-06-07,Canada,Basic,50,4,6,No,Direct,0,2021,Jun,7
2021-10-28,Nigeria,Basic,50,3,9,No,Google Ads,1,2021,Oct,28
2024-09-18,Nigeria,Premium,100,3,15,No,Twitter,1,2024,Sep,18
2024-03-08,United states,Premium,100,4,15,No,Google Ads,0,2024,Mar,8
2022-06-29,Canada,Basic,50,3,4,Yes,Google Ads,1,2022,Jun,29
2024-11-08,Canada,Premium,100,2,10,No,Direct,1,2024,Nov,8
2021-09-20,United kingdom,Premium,100,4,13,No,Twitter,1,2021,Sep,20
2020-06-02,Canada,Enterprise,500,4,8,No,Twitter,2,2020,Jun,2
2025-05-09,Canada,Basic,50,2,12,No,Google Ads,4,2025,May,9
2020-02-03,Canada,Enterprise,500,3,10,No,Twitter,2,2020,Feb,3
2022-10-18,United states,Basic,50,3,7,No,Facebook,0,2022,Oct,18
2024-07-17,Canada,Free,0,3,10,No,Facebook,0,2024,Jul,17
2023-12-30,United kingdom,Free,0,7,10,No,Referral,1,2023,Dec,30
